time_s,current_Acm2,charge_Ccm2,T1_C,T2_C,T3_C,T4_C,T5_C,V1_V,V2_V,V3_V,V4_V,V5_V,ice1,ice2,ice3,ice4,ice5,E1_J,E2_J,E3_J,E4_J,E5_J,leftEndplate_C,rightEndplate_C
13.5,0.0675,0.455625085532044,-12.4620483351344,-1.94661922626841,1.36412090063652,-1.94656649081014,-12.4618373260429,0.700641452013327,0.691737380181736,0.695243472248465,0.691743493525496,0.698799336117876,0.039497186167061,0.0399670058635372,0.0126013973853669,0.0390173209191187,0.0365386006417458,337.5,337.5,337.5,337.5,337.5,-26.709629459129,-26.7096214674871
14,0.07,0.490000085532045,-12.0148706558677,-1.28669266415307,2.10241923607839,-1.28661265089369,-12.0145171794276,0.710845272432781,0.703974387851081,0.712266828347617,0.703994965183685,0.708477359201344,0.0415248923305757,0.0423295517424666,0.00764313455787914,0.0412967042707778,0.0383081083555364,350,350,350,350,350,-26.5106500820481,-26.5106383215577
14.5,0.0725,0.525625085532047,-11.5753164934533,-0.643810926534741,2.82063209094582,-0.643625857475854,-11.5747959127573,0.720144911541541,0.71554975460755,0.728168849339534,0.715561761080178,0.717313741698026,0.0435713777698335,0.0445995047052147,0.00463579570571925,0.0435958834633066,0.0400919730746611,362.5,362.5,362.5,362.5,362.5,-26.3083824085282,-26.3083647846464
15,0.075,0.562500085532048,-11.1431273460217,-0.021694735803635,3.51911167927864,-0.0191815258705788,-11.1423229179075,0.728622755767844,0.728405644777133,0.742781087026728,0.727341029472951,0.725376728058745,0.0456369856023944,0.0360870554157827,0.00281175173197183,0.0395095507391894,0.0418928365574933,375,375,375,375,375,-26.1029770018326,-26.102950744551
15.5,0.0775,0.600625085532049,-10.718287230614,0.58391513058848,4.1975458949716,0.585391470421257,-10.717142675802,0.736381162097565,0.743723268624429,0.75614200874024,0.742333790118209,0.732756250323866,0.0477218511833361,0.0219923331632835,0.0017054136332711,0.0244198381275872,0.0437135802600951,387.5,387.5,387.5,387.5,387.5,-25.8945813920541,-25.8945418426219
16,0.08,0.640000085532051,-10.3001809496099,1.1772840524319,4.85739518316399,1.17804254704549,-10.2988015524962,0.743519704179117,0.758287795468952,0.76835743653479,0.757113933251059,0.739541382650279,0.0498261139704164,0.0133391940477556,0.00103438569650368,0.0148122079183975,0.0455570206463471,400,400,400,400,400,-25.6833363783458,-25.6832798221184
16.5,0.0825,0.680625085532053,-9.88828895480219,1.75772878446094,5.50018785346538,1.75836813689693,-9.88670909891829,0.75012828388583,0.771597844988333,0.779547817833359,0.770538319272931,0.745813362693126,0.0519501191204366,0.00809063058795697,0.000627386646282321,0.00898405997445525,0.0474260171026767,412.5,412.5,412.5,412.5,412.5,-25.4693723771179,-25.4692961177321
17,0.085,0.722500085532054,-9.48223542243954,2.32524383784767,6.12701754137544,2.32632238456188,-9.48042897599248,0.756284254273877,0.783615374708259,0.789826961109371,0.782452143210406,0.751642835080861,0.054094560777631,0.00490721563243101,0.000380529246053527,0.00544910796427281,0.0493237660533834,425,425,425,425,425,-25.2528118436226,-25.2527132616703
17.5,0.0875,0.765625085532056,-9.08171426032033,2.88018836914114,6.7387415669445,2.88195596126604,-9.07962358343877,0.762052344378351,0.794401059419887,0.799295551201056,0.793093782826836,0.757089396938629,0.0562605930344149,0.00297637673205746,0.00023080265442894,0.00330505104527778,0.0512541039287818,437.5,437.5,437.5,437.5,437.5,-25.033770808956,-25.0336466993334
18,0.09,0.81000008553206,-8.68645309515824,3.42307489238425,7.33606575137884,3.42500626373726,-8.68403288668213,0.767485778631075,0.80414327050327,0.808041321578929,0.802688340863501,0.762202144823785,0.0584499203880719,0.00180526375652931,0.000139988887315116,0.00200461480606823,0.0532175539427907,450,450,450,450,450,-24.8123596561832,-24.8122060676638
18.5,0.0925,0.855625085532063,-8.2961975370132,3.9545080074937,7.9199272579491,3.95580035314168,-8.29349043616804,0.772627775426951,0.810496201106722,0.80829956236807,0.810581553196857,0.767021229408985,0.0606648751325403,0.00109494782979495,8.49075531521129e-05,0.00121586035477669,0.0552098541047945,462.5,462.5,462.5,462.5,462.5,-24.5886835458448,-24.5884965515502
19,0.095,0.902500085532066,-7.91065796271437,4.47620856696966,8.49205551957658,4.47708760454509,-7.90770890849626,0.777513024814698,0.807173257955428,0.804988214235291,0.807281223266629,0.771579098155708,0.062908493477494,0.0006641194288142,5.1499034170379e-05,0.000737456582276932,0.0572337041099093,475,475,475,475,475,-24.362842483964,-24.3626189384789
19.5,0.0975,0.950625085532068,-7.5294793069404,4.98907164947076,9.05322192682871,4.98983657222948,-7.52629598310938,0.782169187514519,0.803754040430349,0.801666527304465,0.803876259434512,0.775901615582648,0.065184607094093,0.000402808796213659,3.1235743241808e-05,0.000447290028387224,0.0592926930493689,487.5,487.5,487.5,487.5,487.5,-24.1349304531346,-24.1346676192454
